[210]		一	×一
[863]		並	⿻⿱{䒑,业}
[864]		乖	⿻×{千,北}
[865]		乳	⿰{⿱{⺤,孑},乚}
[866]		事	⿻×{⿳{一,口,⺕},亅}
[867]		些	⿱{此,二}
[868]		享	⿱{⿱{亠,口},子}(⿱{亠,⿱{口,子}})
[869]		京	⿱{⿱{亠,口},小}(⿱{亠,⿱{口,小}})
[870]		佩	⿰{亻,凧}
[871]		佯	⿰{亻,羊}
[872]		佳	⿰{亻,圭}
[873]		併	⿰{亻,并}
[874]		使	⿰{亻,吏}
[875]		例	⿰{亻,列}
[876]		侍	⿰{亻,寺}
[877]		侏	⿰{亻,朱}
[878]		侘	⿰{亻,宅}
[879]		供	⿰{亻,共}
[880]		依	⿰{亻,衣}
